#,priority,priority_name,fds,footprint,footprint_peak,dirty,PE,frozen,docked,swappable,coalition_id,pid,name,flags,total_dirty_time,process_lifetime,percent_dirty
154,0,(Idle),3,2577,2641,N,Y,-,N,-,542,331,keychainsharingmessagingd,(---),0,165,0.02
155,0,(Idle),4,2305,2417,N,Y,-,N,-,66,63,softwareupdated,(---),0,183,0.04
156,0,(Idle),7,3585,3857,N,Y,-,N,-,629,398,geoanalyticsd,(---),108,148,73.45
157,0,(Idle),3,2769,2865,N,Y,-,N,-,490,299,parsec-fbf,(---),105,169,62.03
158,0,(Idle),3,4049,4305,N,Y,-,N,-,660,421,sosd,(---),89,141,63.16
159,0,(Idle),8,10465,103089,N,Y,-,N,-,627,397,com.apple.MapKit.SnapshotService,(---),34,148,23.08
160,0,(Idle),3,2081,2177,N,Y,-,N,-,52,237,WiFiCloudAssetsXPCService,(---),139,178,78.15
161,0,(Idle),6,4113,4449,N,Y,-,N,-,228,408,com.apple.CallKit.CallDirectoryMaintenance,(---),37,145,25.79
162,0,(Idle),22,7697,8049,N,Y,-,N,-,318,198,transparencyd,(---),139,181,77.16
163,0,(Idle),3,3073,3153,N,Y,-,N,-,340,210,manageddeviced,(---),122,180,67.91
164,0,(Idle),3,1969,2033,N,Y,-,N,-,656,418,fairplaydeviceidentityd,(---),0,142,0.58
165,0,(Idle),4,2305,2417,N,Y,-,N,-,654,417,mmaintenanced,(---),6,142,4.83
166,0,(Idle),3,3153,3313,N,Y,-,N,-,76,68,wcd,(---),57,183,31.46
167,0,(Idle),8,4833,5153,N,Y,-,N,-,403,250,appleaccountd,(---),84,175,47.82
168,0,(Idle),3,4305,4417,N,Y,-,N,-,300,187,ospredictiond,(---),125,181,69.38
169,0,(Idle),3,41329,63217,N,Y,-,N,-,216,140,appleh16camerad,(---),135,182,74.30
170,0,(Idle),6,5697,5857,N,Y,-,N,-,294,184,donotdisturbd,(---),91,181,50.56
171,0,(Idle),16,5697,6241,N,Y,-,N,-,443,270,facetimemessagestored,(---),135,173,78.23
172,0,(Idle),10,4481,4961,N,Y,-,N,-,453,275,milod,(---),110,173,63.72
173,0,(Idle),11,3649,3921,N,Y,-,N,-,88,74,askpermissiond,(---),131,183,71.36
174,0,(Idle),3,137281,220513,-,-,-,N,-,336,503,TGOnDeviceInferenceProviderService,(---),0,98,0.00
175,0,(Idle),3,3281,3489,N,Y,-,N,-,658,420,mediasetupd,(---),109,141,76.97
176,0,(Idle),3,1921,2097,N,Y,-,N,-,280,177,languageassetd,(---),148,181,81.94
177,0,(Idle),3,3825,4305,N,Y,-,N,-,222,143,nanoregistryd,(---),150,182,82.21
178,0,(Idle),3,2785,2897,N,Y,-,N,-,844,640,CredentialProviderExtensionHelper,(---),3,66,4.85
179,0,(Idle),3,7969,9057,N,Y,-,N,-,648,414,activityawardsd,(---),109,143,76.18
180,0,(Idle),4,2209,2369,N,Y,-,N,-,635,403,com.apple.MobileSoftwareUpdate.CleanupPreparePathService,(---),8,146,5.94
181,0,(Idle),3,3889,4001,N,Y,-,N,-,110,85,nanoprefsyncd,(---),139,183,75.83
182,0,(Idle),5,1457,1489,N,Y,-,N,-,202,132,logd_helper,(---),16,183,8.88
183,0,(Idle),3,2369,2497,N,Y,-,N,-,397,644,ContainerMetadataExtractor,(---),11,53,21.33
184,0,(Idle),3,2401,2545,N,Y,-,N,-,846,641,passwordbreachd,(---),0,64,0.26
185,0,(Idle),11,3377,3825,N,Y,-,N,-,447,272,adprivacyd,(---),9,173,5.39
186,0,(Idle),4,2545,2929,N,Y,-,N,-,346,213,followupd,(---),16,180,8.91
187,0,(Idle),9,4113,4369,N,Y,-,N,-,415,256,dmd,(---),36,175,20.75
188,0,(Idle),9,6529,7073,N,Y,-,N,-,417,257,ScreenTimeAgent,(---),70,175,40.32
