## smcDiagnose 5.00 200
D1li , 11.000000
D1os , 0xf4 01 88 13 00 00 00 00  00 40 00 e0 
D1pd , 1.000000
D1pi , 1.000000
D1pr , 2.000000
D1pt , 2.000000
D2AP , 0.000000
D2AR , 440.000000
D2BD , 0.000000
D2CC , 0.000000
D2CE , 0.000000
D2DB , 0x00 
D2DE , 0x62 61 74 74 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2ER , 0.000000
D2FC , 0.000000
D2ID , 0.000000
D2IG , 0.000000
D2IR , 0.000000
D2SD , 0.000000
D2UD , 0.000000
D2VR , 5000.000000
D2if , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D2ih , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D2ii , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2im , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2in , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2is , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2pt , 0.000000
DBCF , 134.000000
DBTE , 1.000000
DCAL , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
DPBS , 4500.000000
DPBW , 4500.000000
EVPF , 0x02 08 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
GBRW , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
GGRC , 0.000000
GRRD , 0.000000
IBat , 0.000000
IP0b , 0.045910
IP1b , 0.160013
IP2b , 0.063976
IP4b , 0.000000
IP7b , 0.000000
IPab , 0.020954
IPbb , 0.195484
IPdb , 0.000000
IQ0B , 2.199997
IQ0u , 2.724991
Ib1f , 0.000000
KDBG , 1.000000
KDTP , 1.000000
KEV0 , 1.000000
KINC , 84.000000
KINV , 0x42 4e 4f 43 
KINX , 0x42 4e 4f 43 
LCAD , 15.000000
LCAE , 0.000000
LDKN , 3.000000
LGDA , 12581376000.000000
LGDD , 0x49 4e 49 54 00 00 00 00  00 04 01 00 00 00 00 00  00 00 00 00 ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  00 00 00 00 
LGDE , 0x00 10 00 00 00 
LGDS , 1024.000000
LOGS , 79.000000
LPMI , 0.000000
LPMS , 0.000000
LPMc , 0x00 00 00 00 
MBSE , 0xfe 00 00 00 
MBSW , 0x00 00 00 00 00 00 00 00  
