    #  priority             fds  footprint  footprint_peak  dirty  PE  frozen  docked  swappable  coalition_id  pid  name                                                      flags  total_dirty_time  process_lifetime  percent_dirty
  159    0 (Idle)             8    10465KB        103089KB    N     Y     -       N        -               627  397  com.apple.MapKit.SnapshotService                                              34s              148s         23.08%
  160    0 (Idle)             3     2081KB          2177KB    N     Y     -       N        -                52  237  WiFiCloudAssetsXPCService                                                    139s              178s         78.15%
  161    0 (Idle)             6     4113KB          4449KB    N     Y     -       N        -               228  408  com.apple.CallKit.CallDirectoryMaintenance                                    37s              145s         25.79%
  162    0 (Idle)            22     7697KB          8049KB    N     Y     -       N        -               318  198  transparencyd                                                                139s              181s         77.16%
  163    0 (Idle)             3     3073KB          3153KB    N     Y     -       N        -               340  210  manageddeviced                                                               122s              180s         67.91%
  164    0 (Idle)             3     1969KB          2033KB    N     Y     -       N        -               656  418  fairplaydeviceidentityd                                                        0s              142s          0.58%
  165    0 (Idle)             4     2305KB          2417KB    N     Y     -       N        -               654  417  mmaintenanced                                                                  6s              142s          4.83%
  166    0 (Idle)             3     3153KB          3313KB    N     Y     -       N        -                76   68  wcd                                                                           57s              183s         31.46%
  167    0 (Idle)             8     4833KB          5153KB    N     Y     -       N        -               403  250  appleaccountd                                                                 84s              175s         47.82%
  168    0 (Idle)             3     4305KB          4417KB    N     Y     -       N        -               300  187  ospredictiond                                                                125s              181s         69.38%
  169    0 (Idle)             3    41329KB         63217KB    N     Y     -       N        -               216  140  appleh16camerad                                                              135s              182s         74.30%
  170    0 (Idle)             6     5697KB          5857KB    N     Y     -       N        -               294  184  donotdisturbd                                                                 91s              181s         50.56%
  171    0 (Idle)            16     5697KB          6241KB    N     Y     -       N        -               443  270  facetimemessagestored                                                        135s              173s         78.23%
  172    0 (Idle)            10     4481KB          4961KB    N     Y     -       N        -               453  275  milod                                                                        110s              173s         63.72%
  173    0 (Idle)            11     3649KB          3921KB    N     Y     -       N        -                88   74  askpermissiond                                                               131s              183s         71.36%
  174    0 (Idle)             3   137281KB        220513KB    -     -     -       N        -               336  503  TGOnDeviceInferenceProviderService                                             0s               98s          0.00%
  175    0 (Idle)             3     3281KB          3489KB    N     Y     -       N        -               658  420  mediasetupd                                                                  109s              141s         76.97%
  176    0 (Idle)             3     1921KB          2097KB    N     Y     -       N        -               280  177  languageassetd                                                               148s              181s         81.94%
  177    0 (Idle)             3     3825KB          4305KB    N     Y     -       N        -               222  143  nanoregistryd                                                                150s              182s         82.20%
  178    0 (Idle)             3     2785KB          2897KB    N     Y     -       N        -               844  640  CredentialProviderExtensionHelper                                              3s               66s          4.85%
  179    0 (Idle)             3     7969KB          9057KB    N     Y     -       N        -               648  414  activityawardsd                                                              109s              143s         76.18%
  180    0 (Idle)             4     2209KB          2369KB    N     Y     -       N        -               635  403  com.apple.MobileSoftwareUpdate.CleanupPreparePathService                       8s              146s          5.94%
  181    0 (Idle)             3     3889KB          4001KB    N     Y     -       N        -               110   85  nanoprefsyncd                                                                139s              183s         75.83%
  182    0 (Idle)             5     1457KB          1489KB    N     Y     -       N        -               202  132  logd_helper                                                                   16s              183s          8.88%
  183    0 (Idle)             3     2369KB          2497KB    N     Y     -       N        -               397  644  ContainerMetadataExtractor                                                    11s               53s         21.32%
  184    0 (Idle)             3     2401KB          2545KB    N     Y     -       N        -               846  641  passwordbreachd                                                                0s               64s          0.26%
  185    0 (Idle)            11     3377KB          3825KB    N     Y     -       N        -               447  272  adprivacyd                                                                     9s              173s          5.39%
  186    0 (Idle)             4     2545KB          2929KB    N     Y     -       N        -               346  213  followupd                                                                     16s              180s          8.91%
  187    0 (Idle)             9     4113KB          4369KB    N     Y     -       N        -               415  256  dmd                                                                           36s              175s         20.75%
  188    0 (Idle)             9     6529KB          7073KB    N     Y     -       N        -               417  257  ScreenTimeAgent                                                               70s              175s         40.32%
  189    0 (Idle)            22     6865KB          8993KB    N     Y     -       N        -               407  252  ScreenTimeSettingsAgent                                                      139s              175s         79.70%
  190    0 (Idle)            12     3489KB          4049KB    N     Y     -       N        -               870  664  stickersd                                                                      5s               35s         16.35%
  191    0 (Idle)             3     3441KB          4017KB    N     Y     -       N        -                38   49  accessoryupdaterd                                                             91s              183s         49.58%
  192    0 (Idle)             8     4753KB          5297KB    N     Y     -       N        -               278  176  managedappdistributiond                                                      143s              181s         78.70%
  193    0 (Idle)             3     4673KB          4673KB    -     -     -       N        -               170  650  HealthBalanceWidgetExtension                                                   0s               47s          0.00%
  194    0 (Idle)             5     4865KB          4961KB    N     Y     -       N        -               565  351  ContextService                                                               132s              161s         81.96%
  195    0 (Idle)             3     2225KB          2337KB    N     Y     -       N        -               650  415  CoreThreadCommissionerServiced                                                 0s              143s          0.64%
  196    0 (Idle)            12     2929KB          3185KB    N     Y     -       N        -               866  662  symptomsd-diag                                                                 2s               35s          6.60%
  197    0 (Idle)             6     4017KB          4401KB    N     Y     -       N        -               460  279  TrustedPeersHelper                                                            15s              173s          8.95%
  198    0 (Idle)             3     2657KB          2721KB    N     Y     -       N        -               182  202  com.apple.MobileAsset.DownloadService.Builtin                                154s              181s         85.03%
  199    0 (Idle)             3     3889KB          4081KB    N     Y     -       N        -               188  125  PowerUIAgent                                                                  42s              183s         23.30%
  200    0 (Idle)            18     7105KB          7521KB    N     Y     -       N        -               344  212  findmylocated                                                                140s              180s         77.59%
  201    0 (Idle)             3     5473KB          5681KB    N     Y     -       N        -               401  248  accessoryd                                                                    90s              176s         51.52%
  202    0 (Idle)             3     3137KB          3265KB    N     Y     -       N        -               619  412  FitnessIntelligenceInferenceService                                            3s              143s          2.45%
  203    0 (Idle)             3     4577KB          4977KB    N     Y     -       N        -               662  422  activitysharingd                                                               1s              141s          0.73%
  204    0 (Idle)            12     4113KB          4385KB    N     Y     -       N        -               559  348  ProtectedCloudKeySyncing                                                     100s              161s         61.89%
  205    0 (Idle)             4     2929KB          3425KB    N     Y     -       N        -               445  671  localspeechrecognition                                                         1s               27s          5.17%
  206    0 (Idle)             7     9489KB        128129KB    N     Y     -       N        -                12  240  SBRendererService                                                             15s              177s          8.59%
  207    0 (Idle)             9     6369KB          6481KB    N     Y     -       N        -               220  142  liveactivitiesd                                                               45s              183s         25.01%
  208    0 (Idle)             3     4593KB          9009KB    N     Y     -       N        -               611  387  assetsubscriptiond                                                            24s              152s         16.07%
  209    0 (Idle)             3     2177KB          2193KB    N     Y     -       N        -               100   80  batterytrapd                                                                   1s              183s          0.61%
  210    0 (Idle)             3     2945KB          3137KB    N     Y     -       N        -               328  204  ctkd                                                                          49s              181s         27.35%
  211    0 (Idle)             5     3377KB          3649KB    N     Y     -       N        -                28   44  uarpd                                                                        110s              184s         60.25%
  212    0 (Idle)             8     6689KB          9345KB    N     Y     -       N        -               641  407  privatecloudcomputed                                                          91s              145s         62.70%
  213    0 (Idle)            15     4881KB         10993KB    N     Y     -       N        -               244  156  syncdefaultsd                                                                 96s              182s         52.54%
  214    0 (Idle)             3     2785KB          2961KB    N     Y     -       N        -               312  194  mobilerepaird                                                                 18s              181s         10.45%
  215    0 (Idle)             8     3265KB          3265KB    N     Y     -       N        -               554  345  CategoriesService                                                            107s              163s         65.88%
  216    0 (Idle)             3     1937KB          4065KB    N     Y     -       N        -               528  322  adid                                                                           0s              166s          0.12%
  217    0 (Idle)             7     4401KB          4833KB    N     Y     -       N        -               510  312  cloudtelemetryd                                                               16s              168s         10.06%
  218    0 (Idle)             3     5681KB          6113KB    N     Y     -       N        -               176  119  usernotificationsd                                                           129s              183s         70.78%
  219    0 (Idle)             7     3873KB          4065KB    N     Y     -       N        -               455  276  applekeystored                                                                61s              173s         35.61%
  220    0 (Idle)            35    16817KB         18161KB    N     Y     -       N        -               391  243  homed                                                                        153s              177s         86.54%
